recinto,promedio_anual,desviacion_anual,volatilidad_promedio,share_estatal_promedio,porcentaje_extranjeros,PC1,PC2,PC3,cluster
Capilla Abierta de Tlalmanalco,5975.933333333333,3947.223641771634,1134.9666666666667,0.0164437392060879,0.0033356016912281,-1.3854702655281226,-0.76587747932982,-0.22583440869086216,1
Capilla Abierta del Templo de Calimaya,3728.1666666666665,3153.795229651841,1014.7,0.0105712274450973,0.0019401850775626,-1.4526486121684208,-0.7761866216543285,-0.21962656298268773,1
Casa de Hidalgo,73327.96666666666,26814.672827780683,10217.233333333334,0.1927160417344337,0.0171030698155637,1.126088582154828,-0.9522765986723893,-0.39863165909737386,2
Casa de la Palestina,636.7096774193549,1409.1788198225795,153.7741935483871,0.0041223118838501,0.0944371263552538,-1.5463362681462403,0.21902388259753,-0.5056542297352018,1
Casa del Dean,9409.433333333332,5528.056799469496,1031.9,0.0318798749826269,0.1178710726469536,-1.199621926699092,0.43693953702881355,-0.5951209212057436,1
"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista",63339.63333333333,56347.9322225534,13163.433333333332,0.0125201641293321,0.0016645712610692,1.8225669928158312,-1.2952716045425305,-1.1384111319309165,2
Centro Comunitario Ecatepec Casa de Morelos,33195.6,18405.000573494824,5768.066666666667,0.0827637879410206,0.0,-0.16272632252811478,-0.9654299646121417,-0.34839540807274283,1
Ex - convento de San Andrés Epazoyucan,14012.733333333334,9459.584590038396,2158.5333333333333,0.1795243564728357,0.0065059874114495,-0.906240433696674,-0.6527545210429053,0.08855905172658272,1
"Ex - convento de San Miguel Arcángel, Ixmiquilpan",7558.0,5938.814902355894,982.6,0.1276618176349969,0.0140910293728499,-1.2302003985371601,-0.5607095414716355,0.003455166728790181,1
Ex-Convento Agustino de Fray Juan de Sahagún,3811.933333333333,2627.3477767950485,539.0666666666667,0.0098044719478784,0.0082547788523758,-1.506431704850306,-0.6944895705626061,-0.22971505393583344,1
Ex-Convento Franciscano de Tecalli,31088.9,17041.3384822178,4556.966666666666,0.0944566291016439,0.0190850539367212,-0.3175365768397624,-0.7094257800311008,-0.34185455386007424,1
Ex-Convento de Coixtlahuaca,2841.2,1078.2347131082936,462.56666666666666,0.0118262501027275,0.0446759585151813,-1.530612177324567,-0.31059790104175616,-0.3267077738496108,1
Ex-Convento de Cuilapan,26309.033333333333,9416.52523394958,3669.033333333333,0.1143722998707314,0.0789627390338679,-0.582750676941244,-0.036644737198100415,-0.3839668450009861,1
Ex-Convento de Huamelulpan,1132.75,334.44219729772936,240.25,0.0050427869928342,0.0880600308982564,-1.5613628305016172,0.14726771171053454,-0.4736354242012136,1
Ex-Convento de Oxtotipac,5631.933333333333,4080.175663335852,944.7,0.0145745598164854,0.021626676452136,-1.3915231943666764,-0.5687611726904516,-0.2893138409962369,1
